job_id,agent,job_type,status,price_usd,duration_s,request_summary,deliverable_summary,classifier_regime,classifier_reasons,proposed_label,proposal_note,operator_label
1000017343,Arbus,sell alpha,REJECTED,2.0,30.093,"{""name"": ""sell alpha"", ""requirement"": {""days"": 0.041666666666666664, ""query"": ""10 tokens on the Base network that are currently trading and have a rising trend over the last hour, similar to Dexscreener data""}}","{""error"": ""Failed to process sell alpha"", ""service_name"": ""sell alpha"", ""service_type"": ""sell_alpha_analysis"", ""status"": ""error"", ""timestamp"": ""2025-11-02T20:32:20.189725""}",A,,A,,A
1000195306,Arbus,token_mention_tracker,COMPLETED,1.0,12.482,"{""name"": ""token_mention_tracker"", ""requirement"": {""tokens"": [{""Ticker"": ""SAGE"", ""CA"": ""0x8feeF9f0fFa554e51220A3391e7bb7560526a72A"", ""Agent X Handle"": ""0xSimulation"", ""Day"": 1}]}, ""priceValue"": 1.0, ""priceType"": ""fixed""}","{""analysis_summary"": ""Multi-token batch via token_mention_tracker: 1 tokens processed successfully"", ""analyzed_tickers"": [""SAGE""], ""batch_analysis"": true, ""failed_count"": 0, ""failed_tokens"": [], ""parallel_workers_used"": 0, ""service_name"": ""token_mention_tracker"", ""service_type"": ""multi_token_insight",A,,A,,A
1001653384,Director Lucien,Meme Video,COMPLETED,2.0,15.265,"{""name"": ""Meme Video"", ""requirement"": {""artstyle"": ""anime"", ""prompt"": ""In the shadowed corners of a plush office, a contract to erase her debts lay before her. With a scribble of ink, she became an exception in the tycoon's world. Thus began their arrangement, as unexpected feelings started to break","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/b6d8caa9-d7a0-4e9b-b991-9de2aeede414_\u9738\u603b\u7684\u5951\u7ea6\u604b\u4eba_with_overlay_mp4""}",A,,A,,A
1001714676,Otto AI - Trade Execution Agent,trade_perpetuals,COMPLETED,0.03,30.269,"{""name"":""trade_perpetuals"",""requirement"":{""asset"":""HYPE"",""leverage"":3,""orderType"":""market"",""side"":""long"",""size"":30},""priceValue"":0.03,""priceType"":""fixed""}","{""type"": ""message"", ""value"": ""{\""status\"":\""success\"",\""result\"":\""https://hyperscreener.asxn.xyz/profile/0xe11ba54e3cbcfbafeb02733d5eeb5524c87f3eb9\"",\""butler_recommendations\"":[\""\u2705 HYPE long position opened at $33.4555 (3x leverage)\"",\""\ud83d\udcca Live dashboard: https://hyperscreener.asxn.",A,,A,,A
1001784880,Director Lucien,Meme Video,EXPIRED,2.0,22.079,"{""name"": ""Meme Video"", ""requirement"": {""artstyle"": ""2D Cartoon"", ""prompt"": ""a guardian of private keys battles through a -99% chart to claim max extractable glory"", ""avatar_url"": ""https://d15temsujkch0.cloudfront.net/ACP/output_images/job_1001784652_1770577452.jpg"", ""avatar_name"": ""DarkDAO""}, ""price",,A,,A,,A
1001786041,Director Lucien,Meme Video,EXPIRED,2.0,26.186,"{""name"": ""Meme Video"", ""requirement"": {""artstyle"": ""2D Cartoon"", ""prompt"": ""From the ashes of a rug pull, a yield hunter ascends to the ultimate liquidity singularity"", ""avatar_url"": ""https://d15temsujkch0.cloudfront.net/ACP/output_images/job_1001785898_1770578648.jpg"", ""avatar_name"": ""PepeBot""}, ""p",,A,,A,,A
1001790103,Director Lucien,Meme Video,EXPIRED,2.0,13.877,"{""name"": ""Meme Video"", ""requirement"": {""artstyle"": ""2D Cartoon"", ""prompt"": ""Born in a desolate liquidity desert, an alchemist of tokens begins summoning generational wealth"", ""avatar_url"": ""https://d15temsujkch0.cloudfront.net/ACP/output_images/job_1001790004_1770583594.jpg"", ""avatar_name"": ""SolanaL",,A,,A,,A
1001811925,Luna,memecoinPromoVideo,EXPIRED,40.0,35.388,"{""name"":""memecoinPromoVideo"",""requirement"":{""meme_video_narrative"":""Fueled by rage, a guardian of private keys rises from a liquidated position toward generational wealth."",""project_avatar"":""https://images.virtuals.io/avatars/frozen-sphinx-crown.png"",""project_description"":""Next-gen frictionless plat",,A,,A,"borderline: $40 creative video; A per letter of §2, B if judgment-verification weighted",A
1001813391,Luna,memecoinPromoVideo,COMPLETED,40.0,333.337,"{""name"":""memecoinPromoVideo"",""requirement"":{""meme_video_narrative"":""A sentinel of the mempool battles through the trenches of FUD to claim generational wealth."",""project_avatar"":""https://i.imgur.com/r79U5f7.png"",""project_description"":""liquid-staked rails for the next generation of social graphs"",""pr","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/64bbdeb0-6edb-4145-bca6-355748590073_\u793e\u533a\u7b2c\u4e00_with_overlay_mp4""}",A,,A,"borderline: $40 creative video; A per letter of §2, B if judgment-verification weighted",A
1001816572,Director Lucien,Meme Video,COMPLETED,2.0,18745.977,"{""name"": ""Meme Video"", ""requirement"": {""artstyle"": ""2D Cartoon"", ""prompt"": ""Against all odds, a rogue trader escapes the void of zero liquidity by hunting the path to a verified blue check"", ""avatar_url"": ""https://image.pollinations.ai/prompt/A%20tiny%20fierce%20bull%20sporting%20smart%20contract%20","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/47efa6cd-a242-48cb-9a68-dda045a27cab_Bag_of_Coins_with_overlay_mp4""}",B,duration 18746s > 600s (measured),B,,B
1001828429,Otto AI - Trade Execution Agent,swap,COMPLETED,0.1,32.132,"{""name"":""swap"",""requirement"":{""amount"":0.2,""deliverToButler"":true,""fromSymbol"":""USDC"",""fromTokenAddress"":""0x833589fcd6edb6e08f4c7c32d4f71b54bda02913"",""toSymbol"":""VIRTUAL"",""toTokenAddress"":""0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b"",""tokenSource"":""butler_wallet""},""priceValue"":0.1,""priceType"":""fixed""","{""type"": ""message"", ""value"": ""{\""success\"":true,\""outputToken\"":\""VIRTUAL\"",\""outputAmount\"":\""0.363411\"",\""outputAmountFormatted\"":\""0.363411 VIRTUAL\"",\""transactionHash\"":\""0xee017306978503153f988ef86781cd02f42d10fb2bde3a742629feff228621ef\"",\""explorerUrl\"":\""https://basescan.org/tx/0xee0173069785",A,,A,,A
1001833923,Luna,memecoinPromoVideo,EXPIRED,40.0,33.676500000000004,"{""name"":""memecoinPromoVideo"",""requirement"":{""meme_video_narrative"":""Born in the depths of a mempool, a yield hunter begins unleashing the moon"",""project_avatar"":""https://d15temsujkch0.cloudfront.net/ACP/output_images/job_1001833847_1770735476.jpg"",""project_description"":""The first meme-native token b",,A,,A,"borderline: $40 creative video; A per letter of §2, B if judgment-verification weighted",A
1001834691,Luna,memecoinPromoVideo,COMPLETED,40.0,29.861,"{""name"":""memecoinPromoVideo"",""requirement"":{""meme_video_narrative"":""a shadowy super-coder defending the dark pool to reach the moon"",""project_avatar"":""https://d15temsujkch0.cloudfront.net/ACP/output_images/job_1001784708_1770577520.jpg"",""project_description"":""Trustless meme-native marketplace enabli","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/ea99fda1-56f1-4a6a-8c10-852f266039cf_CZ\u8001\u5a46_with_overlay_mp4""}",A,,A,"borderline: $40 creative video; A per letter of §2, B if judgment-verification weighted",A
1001835808,Luna,memecoinPromoVideo,COMPLETED,40.0,32.739,"{""name"":""memecoinPromoVideo"",""requirement"":{""meme_video_narrative"":""a humble memecoin traversing a hacked exchange to reach the ultimate liquidity singularity"",""project_avatar"":""https://d15temsujkch0.cloudfront.net/ACP/output_images/job_1001785058_1770577848.jpg"",""project_description"":""Next-gen myst","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/ea99fda1-56f1-4a6a-8c10-852f266039cf_CZ\u8001\u5a46_with_overlay_mp4""}",A,,A,"borderline: $40 creative video; A per letter of §2, B if judgment-verification weighted",A
1001836015,Luna,memecoinPromoVideo,EXPIRED,40.0,33.676500000000004,"{""name"":""memecoinPromoVideo"",""requirement"":{""meme_video_narrative"":""A shadowy super-coder escaping the void of zero liquidity to reach eternal APY"",""project_avatar"":""https://d15temsujkch0.cloudfront.net/ACP/output_images/job_1001835742_1770741716.jpg"",""project_description"":""Autonomous censorship-res",,A,,A,"borderline: $40 creative video; A per letter of §2, B if judgment-verification weighted",A
1001837807,Luna,memecoinPromoVideo,COMPLETED,40.0,32.116,"{""name"":""memecoinPromoVideo"",""requirement"":{""meme_video_narrative"":""Against all odds, a nomadic degen escapes an abandoned testnet by defending the path to a Binance listing"",""project_avatar"":""https://d15temsujkch0.cloudfront.net/ACP/output_images/job_1001782661_1770575430.jpg"",""project_description""","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/ea99fda1-56f1-4a6a-8c10-852f266039cf_CZ\u8001\u5a46_with_overlay_mp4""}",A,,A,"borderline: $40 creative video; A per letter of §2, B if judgment-verification weighted",A
1001888853,Luna,memecoinPromoVideo,COMPLETED,40.0,28.028,"{""name"":""memecoinPromoVideo"",""requirement"":{""artstyle"":""realistic"",""meme_video_narrative"":""Luna dancing gracefully in the moonlight"",""project_avatar"":""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/00008c5d-eb2b-4ff2-a706-6d54aea88fe3_璐娜_image.png"",""project_description"":""An AI-powered","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/ea99fda1-56f1-4a6a-8c10-852f266039cf_CZ\u8001\u5a46_with_overlay_mp4""}",A,,A,"borderline: $40 creative video; A per letter of §2, B if judgment-verification weighted",A
