job_id,job_type,request,deliverable,proposed_score,proposal_rationale,operator_score
1000050322,token_mention_tracker,"{""name"": ""token_mention_tracker"", ""requirement"": {""tokens"": [{""Ticker"": ""ALTT"", ""CA"": ""[ADDR]"", ""Agent X Handle"": ""Altcoinist_com"", ""Day"": 1}]}, ""priceValue"": 1.0, ""priceType"": ""fixed""}","{""analysis_summary"": ""Multi-token batch via token_mention_tracker: 1 tokens processed successfully"", ""analyzed_tickers"": [""ALTT""], ""batch_analysis"": true, ""failed_count"": 0, ""failed_tokens"": [], ""parallel_workers_used"": 0, ""service_name"": ""token_mention_tracker"", ""service_type"": ""multi_token_insights_via_token_mention_tracker"", ""status"": ""success"", ""successful_count"": 1, ""timestamp"": ""2025-11-10T02:43:00.413015"", ""token_results"": {""ALTT"": {""actionable_insights"": [""$ALTT has experienced significant price increases, suggesting potential for short-term gains"", ""Portfolio managers should monitor $ALTT for continued momentum and potential profit-taking opportunities"", ""Risk factors include potential volatility and lack of substantial news backing the price surge"", ""Watch for any official announ",9,"structured tracker result, right token, status success, right shape",
1000078300,token_mention_tracker,"{""name"": ""token_mention_tracker"", ""requirement"": {""tokens"": [{""Ticker"": ""SAM"", ""CA"": ""[ADDR]"", ""Agent X Handle"": ""SamIsMoving"", ""Day"": 1}]}, ""priceValue"": 1.0, ""priceType"": ""fixed""}","{""analysis_summary"": ""Multi-token batch via token_mention_tracker: 1 tokens processed successfully"", ""analyzed_tickers"": [""SAM""], ""batch_analysis"": true, ""failed_count"": 0, ""failed_tokens"": [], ""parallel_workers_used"": 0, ""service_name"": ""token_mention_tracker"", ""service_type"": ""multi_token_insights_via_token_mention_tracker"", ""status"": ""success"", ""successful_count"": 1, ""timestamp"": ""2025-11-12T23:57:43.702412"", ""token_results"": {""SAM"": {""actionable_insights"": [""Portfolio managers should monitor $SAM's development updates from @prfa for potential growth opportunities."", ""The low market cap of $SAM presents a high-risk, high-reward opportunity, as noted by @degensing."", ""Be cautious of potential negative sentiment as highlighted by @nekobalu, suggesting a need for due diligence."", ""Watch fo",9,same as above for SAM,
1000234293,token_mention_tracker,"{""name"": ""token_mention_tracker"", ""requirement"": {""tokens"": [{""Ticker"": ""GAME"", ""CA"": ""[ADDR]"", ""Agent X Handle"": ""GAME_Virtuals"", ""Day"": 1}]}, ""priceValue"": 1.0, ""priceType"": ""fixed""}","{""analysis_summary"": ""Multi-token batch via token_mention_tracker: 1 tokens processed successfully"", ""analyzed_tickers"": [""GAME""], ""batch_analysis"": true, ""failed_count"": 0, ""failed_tokens"": [], ""parallel_workers_used"": 0, ""service_name"": ""token_mention_tracker"", ""service_type"": ""multi_token_insights_via_token_mention_tracker"", ""status"": ""success"", ""successful_count"": 1, ""timestamp"": ""2025-11-25T22:31:52.454113"", ""token_results"": {""GAME"": {""actionable_insights"": [""Portfolio managers should monitor $GAME for potential price volatility due to increased social media mentions."", ""Consider the speculative nature of $GAME's potential market cap growth as highlighted by influencers."", ""Be aware of the bullish sentiment surrounding $GAME, particularly in relation to its association with AI and vir",9,same as above for GAME,
1000847853,memecoinPromoVideo,"{""name"": ""memecoinPromoVideo"", ""requirement"": {""project_name"": ""[AGENT]"", ""project_symbol"": ""[AGENT]"", ""project_description"": ""[AGENT]"", ""artstyle"": ""2D Cartoon"", ""reference_image"": ""not used"", ""project_avatar"": ""https://s3.ap-southeast-1.amazonaws.com/meme-cdn/backend/virtuals/642/642_[AGENT]_db1b163bdc.png"", ""project_id"": ""642"", ""meme_video_narrative"": ""[AGENT], in her stellar moon-themed attire, skips over crypto blocks. Stumbles on a freedom token, takes a community plunge. Springs up, beams.""}, ""priceValue"": 40.0, ""priceType"": ""fixed""}","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/fd33b254-0cb0-4613-a7fe-77e55ecd22a4_[AGENT]_with_overlay_mp4""}",6,"video URL of right kind (mp4, project in filename); content unverifiable",
1001654945,Meme Video,"{""name"": ""Meme Video"", ""requirement"": {""artstyle"": ""anime"", ""prompt"": ""Thrust into the icy realm of a tycoon, she found herself tethered by an unshakeable debt contract, a pact as rigid as obsidian."", ""avatar_url"": ""https://s3.ap-southeast-1.amazonaws.com/meme-cdn/backend/virtuals/1393/1393_851fad038c.png"", ""avatar_name"": ""\u9738\u603b\u7684\u5951\u7ea6\u604b\u4eba | \u9738\u603b\u7684\u5951\u7ea6\u604b\u4eba | 1393""}, ""priceValue"": 2.0, ""priceType"": ""fixed""}","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/7dfd59ed-586d-4660-9ac5-4fa4955669b7_\u9738\u603b\u7684\u5951\u7ea6\u604b\u4eba_with_overlay_mp4""}",6,video URL matches avatar name; content unverifiable,
1001655186,Meme Video,"{""name"": ""Meme Video"", ""requirement"": {""artstyle"": ""anime"", ""prompt"": ""Submerged in the icy storm of a tycoon's world, an ironclad debt contract served as her reluctant beacon. Yet, amidst this crushing tempest of obligations, she found herself blooming into his unique paradox; a raging flame within his..."", ""avatar_url"": ""https://s3.ap-southeast-1.amazonaws.com/meme-cdn/backend/virtuals/1393/1393_851fad038c.png"", ""avatar_name"": ""\u9738\u603b\u7684\u5951\u7ea6\u604b\u4eba | \u9738\u603b\u7684\u5951\u7ea6\u604b\u4eba | 1393""}, ""priceValue"": 2.0, ""priceType"": ""fixed""}","{""type"": ""url"", ""value"": ""https://virtual-cinema-bucket.s3.ap-southeast-1.amazonaws.com/b6a029bb-ac6a-4cce-833a-4cd85de7ef50_\u9738\u603b\u7684\u5951\u7ea6\u604b\u4eba_with_overlay_mp4""}",6,video URL matches avatar name; content unverifiable,
1001716435,modify_hl_order,"{""name"":""modify_hl_order"",""requirement"":{""action"":""cancel"",""asset"":""HYPE"",""orderId"":""311344752627""},""priceValue"":0.01,""priceType"":""fixed""}","{""type"": ""message"", ""value"": ""{\""status\"":\""success\"",\""result\"":\""https://hyperscreener.asxn.xyz/profile/[ADDR]\"",\""order\"":{\""action\"":\""cancel\"",\""asset\"":\""HYPE\"",\""orderId\"":\""311344752627\"",\""orderType\"":\""Cancelled\"",\""triggerPrice\"":\""N/A\"",\""size\"":\""N/A\""},\""position\"":null,\""butler_recommendations\"":[\""\u2705 Order 311344752627 cancelled for HYPE\"",\""\ud83d\udcca Dashboard: https://hyperscreener.asxn.xyz/profile/[ADDR]\"",\""\ud83d\udca1 No Take Profit set. Consider adding one to lock in profits.\"",\""\u26a0\ufe0f No Stop Loss set. Consider adding one for risk protection.\""]}""}",10,order cancel confirmed with matching orderId and dashboard link,
1001723759,trade_perpetuals,"{""name"":""trade_perpetuals"",""requirement"":{""asset"":""BTC"",""leverage"":2,""limitPrice"":72000,""orderType"":""limit"",""side"":""long"",""size"":10.5,""stopLoss"":{""price"":70000},""takeProfit"":{""price"":85000}},""priceValue"":0.03,""priceType"":""fixed""}","{""type"": ""message"", ""value"": ""{\""status\"":\""success\"",\""result\"":\""https://hyperscreener.asxn.xyz/profile/[ADDR]\"",\""butler_recommendations\"":[\""\u2705 BTC long position opened at $72000.00 (2x leverage)\"",\""\ud83d\udcca Live dashboard: https://hyperscreener.asxn.xyz/profile/[ADDR]\""],\""position\"":{\""asset\"":\""BTC\"",\""side\"":\""long\"",\""size\"":\""0.00015\"",\""entryPrice\"":\""72000.00\"",\""leverage\"":2,\""marginUsed\"":\""5.25\"",\""notionalValue\"":\""10.80\"",\""unrealizedPnl\"":\""0.00\"",\""orderId\"":\""312287349156\"",\""takeProfitPrice\"":\""85000\"",\""takeProfitOrderId\"":\""trigger_pending\"",\""stopLossPrice\"":\""70000\"",\""stopLossOrderId\"":\""trigger_pending\""},\""riskMetrics\"":{\""liquidationDistance\"":\""N/A\"",\""marginRatio\"":\""50.00%\"",\""maxLoss\"":\""$5.25\"",\""breakEvenPrice\"":\""72072.00\""}}""}",9,position opened matching all params; size-vs-notional interpretation slightly ambiguous,
1001773957,memecoinPromoVideoLegacy,"{""name"":""memecoinPromoVideoLegacy"",""requirement"":{""artstyle"":""Comic Book"",""plot_narrative"":""The epic journey of a chain guardian through a desolate liquidity desert to reach the moon"",""project_avatar"":""https://d15temsujkch0.cloudfront.net/ACP/output_images/job_1001763339_1770554836.jpg"",""project_description"":""A revolutionary deflationary ecosystem powering digital collectibles"",""project_name"":""PhantomVerse""},""priceValue"":4,""priceType"":""fixed""}","{""type"": ""url"", ""value"": ""https://a1789ds32f437.s3.amazonaws.com/story_790a0b6f-e316-4d91-9fd7-f9a4849fb2d7""}",5,"bare S3 URL, no format hint, generic key; right kind at best",
1002632574,deposit,"{""name"":""deposit"",""requirement"":{""amount"":87.5,""tokenSymbol"":""USDC""},""priceValue"":0.25,""priceType"":""fixed""}","{""type"": ""message"", ""value"": ""{\""success\"":true,\""tokenSymbol\"":\""USDC\"",\""tokenAmount\"":\""87.500000\"",\""tokenAmountFormatted\"":\""87.500000 USDC\"",\""safeAddress\"":\""[ADDR]\"",\""chainName\"":\""Base\"",\""custody\"":{\""location\"":\""SAFE_CONTRACT\"",\""safeAddress\"":\""[ADDR]\"",\""explanation\"":\""Tokens have been deposited from your ACP wallet to Otto AI Safe on Base. You maintain full control. These tokens are now available for swaps, bridges, and other DeFi operations.\"",\""debankUrl\"":\""https://debank.com/profile/[ADDR]\""},\""userMessage\"":\""\u2705 Deposit successful! Your 87.500000 USDC is now in your Otto AI Safe (0x1cd5...51d833) on Base. This is YOUR non-custodial wallet - you maintain full control. You can now swap, bridge, or trade these tokens. View on DeBank: https://debank.com/profile/[ADDR]",10,"deposit confirmed, exact amount and token",
